Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out multiple products,Chrome 103.0.5060.114,,,2022-07-21 13:31:23,2022-07-21 13:32:49,1m - 25.633s,FAILED
,,,,,,,
Test Cases/Data-driven samples/Order and check out multiple products,Chrome 103.0.5060.114,,,2022-07-21 13:31:23,2022-07-21 13:32:49,1m - 25.381s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:31:24,2022-07-21 13:31:39,15.324s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 103.0.5060.114,,,2022-07-21 13:31:39,2022-07-21 13:31:39,0.325s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 103.0.5060.114,,,2022-07-21 13:31:39,2022-07-21 13:31:42,2.455s,PASSED
product = findTestData(dataFile),Chrome 103.0.5060.114,,,2022-07-21 13:31:42,2022-07-21 13:31:42,0.384s,PASSED
productList =  }).collect(Collectors.toList()),Chrome 103.0.5060.114,,,2022-07-21 13:31:42,2022-07-21 13:31:42,0.043s,PASSED
for (def productName : productList),Chrome 103.0.5060.114,,,2022-07-21 13:31:42,2022-07-21 13:32:49,1m - 6.536s,FAILED
