Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out with Global Variable,Chrome 103.0.5060.114,,,2022-07-21 13:20:56,2022-07-21 13:24:12,3m - 16.069s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 103.0.5060.114,,,2022-07-21 13:20:56,2022-07-21 13:22:21,1m - 24.967s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:20:57,2022-07-21 13:21:09,11.850s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 103.0.5060.114,,,2022-07-21 13:21:09,2022-07-21 13:21:09,0.357s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 103.0.5060.114,,,2022-07-21 13:21:09,2022-07-21 13:21:11,2.477s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:21:11,2022-07-21 13:21:42,30.750s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 103.0.5060.114,,,2022-07-21 13:21:42,2022-07-21 13:22:14,31.307s,PASSED
sample.Login.logoutFromApplication(),Chrome 103.0.5060.114,,,2022-07-21 13:22:14,2022-07-21 13:22:20,6.688s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-21 13:22:20,2022-07-21 13:22:21,0.691s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product using coupon,Chrome 103.0.5060.114,,,2022-07-21 13:22:21,2022-07-21 13:24:12,1m - 50.843s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:22:21,2022-07-21 13:22:36,14.495s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 103.0.5060.114,,,2022-07-21 13:22:36,2022-07-21 13:22:37,1.198s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 103.0.5060.114,,,2022-07-21 13:22:37,2022-07-21 13:22:42,4.863s,PASSED
sample.Shop.applyCouponAndAddToCartWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:22:42,2022-07-21 13:23:07,25.282s,PASSED
sample.Checkout.CheckoutShopWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:23:07,2022-07-21 13:24:06,59.279s,PASSED
sample.Login.logoutFromApplication(),Chrome 103.0.5060.114,,,2022-07-21 13:24:06,2022-07-21 13:24:11,4.876s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-21 13:24:11,2022-07-21 13:24:12,0.691s,PASSED
