Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out with Global Variable,Chrome 103.0.5060.114,,,2022-07-21 13:33:10,2022-07-21 13:33:30,19.899s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 103.0.5060.114,,,2022-07-21 13:33:10,2022-07-21 13:33:15,4.646s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:33:11,2022-07-21 13:33:15,3.881s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product using coupon,Chrome 103.0.5060.114,,,2022-07-21 13:33:15,2022-07-21 13:33:27,11.889s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:33:15,2022-07-21 13:33:27,11.637s,FAILED
,,,,,,,
Test Cases/Data-driven samples/Order and check out multiple products,Chrome 103.0.5060.114,,,2022-07-21 13:33:27,2022-07-21 13:33:30,3.097s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:33:27,2022-07-21 13:33:30,2.908s,FAILED
