Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out with Global Variable,Chrome 103.0.5060.114,,,2022-07-21 13:38:10,2022-07-21 13:38:21,10.833s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 103.0.5060.114,,,2022-07-21 13:38:10,2022-07-21 13:38:14,4.116s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:38:11,2022-07-21 13:38:14,3.293s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product using coupon,Chrome 103.0.5060.114,,,2022-07-21 13:38:14,2022-07-21 13:38:18,3.519s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:38:15,2022-07-21 13:38:18,3.239s,FAILED
,,,,,,,
Test Cases/Data-driven samples/Order and check out multiple products,Chrome 103.0.5060.114,,,2022-07-21 13:38:18,2022-07-21 13:38:21,2.943s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 103.0.5060.114,,,2022-07-21 13:38:18,2022-07-21 13:38:21,2.714s,FAILED
